"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"1","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"2","OFICINISTA","LOSEP","3.06.01.001.001.5.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"3","JEFE OPERATIVO DE TRANSITO (E)","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 7","1676","12159.31","139.67","35.42","0","0","175.09","","","","","","","","","","","",""
"4","PROMOTOR SOCIAL","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"5","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"6","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","52.99","35.42","74.88","0","163.29","","","","","","","","","","","",""
"7","ANALISTA JURIDICO 3","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"8","ARQUITECTO 3","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"9","CONSERJE","CODIGO DE TRABAJO","4.01.05.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"10","AUXILIAR DE SERVICIOS","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"11","ENFERMERA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"12","ASISTENTE ADMINISTRATIVO","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Servicios 1","527","6324","43.92","35.42","0","0","79.34","","","","","","","","","","","",""
"13","CONSERJE","CODIGO DE TRABAJO","1.01.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"14","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP-SOC","1.03.01.001.001.5.1.05.10","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"15","MÚSICO DE BANDA MUNICIPAL","CODIGO DE TRABAJO","2.01.02.001.001.7.1.01.06","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"16","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"17","CHOFER DE VEHICULOS LIVIANOS","CODIGO DE TRABAJO","4.01.01.001.002.7.1.01.05","","596","7152","49.67","35.42","0","0","85.09","","","","","","","","","","","",""
"18","OFICINISTA","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8305.5","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"19","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","64.69","35.42","215.28","0","315.39","","","","","","","","","","","",""
"20","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","2748.9","50.18","35.42","41.18","0","126.78","","","","","","","","","","","",""
"21","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","56.11","35.42","112.32","0","203.85","","","","","","","","","","","",""
"22","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"23","OPERADOR DE RETRO-EXCAVADORA","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"24","OPERADOR DE MAQUINARIA O EQUIPO PESADO","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"25","JORNALERO","CODIGO DE TRABAJO","3.06.02.004.004.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"26","OPERADOR DE RETRO-EXCAVADORA","CODIGO DE TRABAJO","3.06.02.001.001.7.1.01.06","","738","8856","61.5","35.42","0","0","96.92","","","","","","","","","","","",""
"27","PROMOTOR SOCIAL 2","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"28","DOCENTE DE UNIDAD EDUCATIVA MUNICIPAL","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"29","AYUDANTE DE ALBAÑIL","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"30","SECRETARIA 1","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"31","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"32","JORNALERO","CODIGO DE TRABAJO","3.06.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"33","TECNICO EN DISEÑO INSTITUCIONAL","LOSEP","1.08.04.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"34","ASISTENTE DE RECURSOS HUMANOS 3","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"35","INGENIERO CIVIL 1","LOSEP","3.06.01.001.001.7.1.01.05","Servidor Público 3","986","11832","92.44","35.42","123.3","0","251.16","","","","","","","","","","","",""
"36","INSPECTOR","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"37","OPERADOR INFORMATICO","LOSEP","1.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","9963.2","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"38","AUXILIAR DE OFICINA","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Servicios 2","553","6636","46.08","35.42","0","0","81.5","","","","","","","","","","","",""
"39","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"40","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"41","OPERADOR DE EXCAVADORA","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","738","8856","72.79","35.42","135.52","0","243.73","","","","","","","","","","","",""
"42","PEON","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"43","PSICOLOGA","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"44","AYUDANTE DE SERVICIOS ADMINISTRATIVOS ","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"45","COORDINADOR DE CENTROS CULTURALES Y MUSEOS","LOSEP","2.01.02.001.001.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"46","TECNICO DE PLANIFICACION","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"47","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
